# Id,Lat,Lon
18.000,41.266,-64.262
65.000,41.330,-41.854
90.000,39.359,28.615
92.000,35.156,-90.939
107.000,39.743,-74.512
109.000,20.625,34.859
174.000,38.124,-61.225
302.000,35.294,-86.063
371.000,38.787,-94.746
388.000,38.046,-40.756
406.000,42.125,-47.092
408.000,31.656,-64.908
442.000,36.230,-91.371
493.000,38.340,-99.115
533.000,37.344,-100.993
622.000,42.910,5.264
626.000,42.025,-60.459
691.000,32.127,-43.257
698.000,38.188,-66.346
788.000,41.335,-66.717
950.000,38.627,-97.392
979.000,33.179,-84.450
1027.000,36.833,-63.488
1110.000,38.235,-3.601
1150.000,43.169,2.210
1225.000,41.893,-49.929
1227.000,33.614,-82.500
1263.000,34.580,-53.054
1323.000,40.454,-69.728
1402.000,28.643,76.018
1407.000,31.114,7.608
1444.000,33.572,-89.272
1504.000,43.145,-7.187
1740.000,28.872,-0.124
1868.000,37.593,-92.427
1903.000,31.868,-86.930
1931.000,35.503,-80.062
1967.000,40.339,-69.998
2006.000,31.895,0.341
2040.000,39.743,7.433
2056.000,33.640,-75.157
2096.000,37.469,-100.447
2227.000,41.177,-67.311
2352.000,36.290,-66.497
2427.000,35.103,-89.273
2569.000,41.506,-56.728
2698.000,37.379,-93.832
2707.000,29.650,63.325
2715.000,39.229,8.652
2761.000,34.881,-12.893
2799.000,36.210,-75.814
3018.000,38.046,-31.964
3036.000,41.552,-59.073
3045.000,42.785,-20.687
3048.000,36.290,-66.497
3244.000,38.188,-66.346
3326.000,41.164,-72.120
3388.000,28.722,46.559
3390.000,31.915,-59.469
3409.000,34.956,-90.740
3438.000,27.626,-27.868
3461.000,34.215,-89.984
3498.000,41.328,-68.429
3508.000,31.527,-58.319
3577.000,42.297,14.367
3673.000,43.454,15.405
3810.000,34.752,-75.157
3885.000,37.847,-63.337
3971.000,32.692,-47.337
4050.000,27.679,22.669
4065.000,41.451,19.336
4273.000,43.397,-11.873
4280.000,36.068,-26.035
4309.000,29.232,-81.413
4312.000,40.720,-74.066
4571.000,37.305,-78.241
4593.000,34.907,-89.386
4615.000,39.127,-61.308
4693.000,34.307,-64.126
4713.000,38.026,-63.479
4722.000,43.332,-30.378
4837.000,32.839,-64.126
4990.000,34.606,46.901
5079.000,41.650,-26.947
5150.000,31.436,-54.951
5242.000,34.805,-69.280
5325.000,36.333,-77.844
5334.000,29.755,81.227
5339.000,31.348,-42.246
5460.000,39.872,-54.413
5467.000,33.176,-50.173
5490.000,34.523,-72.215
5532.000,36.830,-82.773
5554.000,37.533,-87.699
5567.000,36.207,-30.453
5604.000,34.205,-25.431
5613.000,38.368,-91.451
5617.000,41.733,-61.996
5662.000,40.882,-70.032
5667.000,34.499,-56.544
5715.000,41.204,-68.242
5778.000,37.600,19.982
5976.000,25.549,43.127
6068.000,30.107,-11.738
6098.000,36.207,-90.578
6168.000,23.057,38.689
6260.000,35.477,-81.565
6295.000,33.136,-24.913
6348.000,36.959,-96.215
6384.000,39.726,-53.289
6406.000,37.224,-86.062
6417.000,32.389,-23.136
6472.000,38.026,-54.935
6483.000,39.199,-73.195
6641.000,32.861,-68.824
6692.000,31.258,-12.295
6738.000,39.127,-67.674
6811.000,34.307,-64.126
6860.000,38.026,-54.935
6865.000,37.332,-97.734
6898.000,41.874,12.018
6903.000,37.317,-96.080
6971.000,36.969,-74.083
6995.000,40.816,-77.798
6999.000,40.769,-76.704
7302.000,34.307,-64.126
7304.000,36.123,-98.679
7317.000,35.837,-95.243
7390.000,41.025,-69.386
7413.000,33.209,-24.388
7417.000,33.446,-41.921
7460.000,30.707,-50.186
7461.000,33.219,-82.275
7466.000,33.207,-92.675
7526.000,38.921,-75.077
7554.000,42.622,-19.620
7788.000,35.214,-100.770
7883.000,31.364,-43.783
8071.000,34.720,-81.823
8079.000,35.772,-91.147
8124.000,40.261,18.833
8188.000,43.253,-26.758
8194.000,34.881,-46.810
8252.000,31.527,-46.201
8295.000,38.188,-66.346
8296.000,38.730,3.724
8415.000,44.036,-19.211
8533.000,30.045,-28.877
8641.000,29.011,56.636
